iter, id, rot_num, x, y, z, r11, r12, r13, r21, r22, r23, r31, r32, r33

0,0,3,6.41502, -0.418442, -0.150237, -0.888538, 0.0218962, 0.458281, -0.392471, -0.553615, -0.734491, 0.237629, -0.832485, 0.500502
1,0,3,6.41418, -0.416368, -0.148241, -0.889082, 0.0135193, 0.457548, -0.391685, -0.539752, -0.745152, 0.236889, -0.841716, 0.485179
3,0,3,6.41582, -0.419347, -0.146684, -0.889084, 0.0161444, 0.45746, -0.391378, -0.545095, -0.741414, 0.23739, -0.838219, 0.490954
4,0,3,6.41314, -0.408395, -0.141856, -0.889458, 0.025585, 0.456301, -0.391836, -0.556574, -0.732591, 0.235222, -0.830404, 0.505074
13,0,3,6.41554, -0.418637, -0.147718, -0.889158, 0.0256056, 0.456883, -0.391846, -0.558264, -0.731299, 0.236336, -0.829268, 0.506419
14,0,3,6.41327, -0.416281, -0.14865, -0.888998, 0.010607, 0.457788, -0.392443, -0.532777, -0.749758, 0.235947, -0.846189, 0.477801
15,0,3,6.4165, -0.420135, -0.14885, -0.888975, 0.0220714, 0.457424, -0.392125, -0.552646, -0.735405, 0.236562, -0.833124, 0.499944
16,0,3,6.41531, -0.417752, -0.147198, -0.888697, 0.0259538, 0.45776, -0.39282, -0.557991, -0.730985, 0.236454, -0.829441, 0.50608
17,0,3,6.41528, -0.4186, -0.148713, -0.888497, 0.0197212, 0.458459, -0.391811, -0.552664, -0.735559, 0.238868, -0.833171, 0.498768
18,0,3,6.41571, -0.426648, -0.158966, -0.88828, 0.0177472, 0.458959, -0.392699, -0.547602, -0.738864, 0.238214, -0.836551, 0.493393
21,0,3,6.41615, -0.418977, -0.145929, -0.888825, 0.0249345, 0.457569, -0.392419, -0.557054, -0.731915, 0.236641, -0.830102, 0.504908
23,0,3,6.41361, -0.411471, -0.140795, -0.888958, 0.0222628, 0.457447, -0.392003, -0.553476, -0.734845, 0.236826, -0.832567, 0.500744
24,0,3,6.41487, -0.416513, -0.14815, -0.888675, 0.0285449, 0.457648, -0.392391, -0.563738, -0.726794, 0.237247, -0.82546, 0.51218
